Run,Age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sex,source_name,SRA Study,Strain,tissue_preparation,TISSUE,AssemblyName,intentional_duplicate (run)
SRR11773250,6-8 weeks,RNA-Seq,100,6258402000,PRJNA631784,SAMN14891827,2931653164,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8326396,GSM4547070,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-18T00:00:00Z,2020-05-11T18:40:00Z,1,GSM4547070,male,MTAL,SRP261167,C57BL/6,Microdissected renal tubule,Kidney,,
SRR11773251,6-8 weeks,RNA-Seq,100,4902990100,PRJNA631784,SAMN14891826,2352339098,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8326397,GSM4547071,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-18T00:00:00Z,2020-05-11T18:56:00Z,1,GSM4547071,male,ATL,SRP261167,C57BL/6,Microdissected renal tubule,Kidney,,
SRR11773252,6-8 weeks,RNA-Seq,100,5298318200,PRJNA631784,SAMN14891825,2487812634,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8326398,GSM4547072,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-18T00:00:00Z,2020-05-11T18:29:00Z,1,GSM4547072,male,ATL,SRP261167,C57BL/6,Microdissected renal tubule,Kidney,,
SRR11773253,6-8 weeks,RNA-Seq,100,3924483300,PRJNA631784,SAMN14891824,1858984350,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8326306,GSM4547073,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-18T00:00:00Z,2020-05-11T18:35:00Z,1,GSM4547073,male,DTL3,SRP261167,C57BL/6,Microdissected renal tubule,Kidney,,
SRR11773254,6-8 weeks,RNA-Seq,100,3458016300,PRJNA631784,SAMN14891823,1644696296,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8326307,GSM4547074,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-18T00:00:00Z,2020-05-11T18:34:00Z,1,GSM4547074,male,DTL3,SRP261167,C57BL/6,Microdissected renal tubule,Kidney,,
SRR11773255,6-8 weeks,RNA-Seq,100,4488039300,PRJNA631784,SAMN14891822,2104209623,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8326308,GSM4547075,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-18T00:00:00Z,2020-05-11T18:37:00Z,1,GSM4547075,male,DTL3,SRP261167,C57BL/6,Microdissected renal tubule,Kidney,,
SRR11773256,6-8 weeks,RNA-Seq,100,4147201900,PRJNA631784,SAMN14891866,1974950155,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8326309,GSM4547076,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-18T00:00:00Z,2020-05-11T18:37:00Z,1,GSM4547076,male,Glomerulus,SRP261167,C57BL/6,Microdissected renal tubule,Kidney,,
SRR11773257,6-8 weeks,RNA-Seq,100,3835063600,PRJNA631784,SAMN14891865,1821299018,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8326310,GSM4547077,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-18T00:00:00Z,2020-05-11T18:50:00Z,1,GSM4547077,male,Glomerulus,SRP261167,C57BL/6,Microdissected renal tubule,Kidney,,
SRR11773258,6-8 weeks,RNA-Seq,100,4525396300,PRJNA631784,SAMN14891864,2128488046,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8326311,GSM4547078,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-18T00:00:00Z,2020-05-11T18:44:00Z,1,GSM4547078,male,PTS1,SRP261167,C57BL/6,Microdissected renal tubule,Kidney,,
SRR11773259,6-8 weeks,RNA-Seq,100,1834839300,PRJNA631784,SAMN14891863,980279894,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8326312,GSM4547079,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-18T00:00:00Z,2020-05-11T18:15:00Z,1,GSM4547079,male,DTL2,SRP261167,C57BL/6,Microdissected renal tubule,Kidney,,
SRR11773260,6-8 weeks,RNA-Seq,100,2537914800,PRJNA631784,SAMN14891862,1351439637,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8326313,GSM4547080,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-18T00:00:00Z,2020-05-11T18:18:00Z,1,GSM4547080,male,ATL,SRP261167,C57BL/6,Microdissected renal tubule,Kidney,,
SRR11773261,6-8 weeks,RNA-Seq,100,1343949700,PRJNA631784,SAMN14891861,709832511,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8326314,GSM4547081,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-18T00:00:00Z,2020-05-11T18:11:00Z,1,GSM4547081,male,DTL2,SRP261167,C57BL/6,Microdissected renal tubule,Kidney,,
SRR11773262,6-8 weeks,RNA-Seq,100,1644946100,PRJNA631784,SAMN14891860,864480341,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8326315,GSM4547082,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-18T00:00:00Z,2020-05-11T18:13:00Z,1,GSM4547082,male,DTL2,SRP261167,C57BL/6,Microdissected renal tubule,Kidney,,
SRR11773263,6-8 weeks,RNA-Seq,100,2546183400,PRJNA631784,SAMN14891859,1349985753,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8326316,GSM4547083,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-18T00:00:00Z,2020-05-11T18:17:00Z,1,GSM4547083,male,ATL,SRP261167,C57BL/6,Microdissected renal tubule,Kidney,,
SRR11773264,6-8 weeks,RNA-Seq,100,1787327400,PRJNA631784,SAMN14891858,951152253,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8326317,GSM4547084,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-18T00:00:00Z,2020-05-11T18:13:00Z,1,GSM4547084,male,DTL2,SRP261167,C57BL/6,Microdissected renal tubule,Kidney,,
SRR11773265,6-8 weeks,RNA-Seq,100,2012201500,PRJNA631784,SAMN14891857,1066701079,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8326318,GSM4547085,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-18T00:00:00Z,2020-05-11T18:15:00Z,1,GSM4547085,male,DTL2,SRP261167,C57BL/6,Microdissected renal tubule,Kidney,,
SRR11773266,6-8 weeks,RNA-Seq,100,2001772800,PRJNA631784,SAMN14891856,1057252653,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8326319,GSM4547086,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-18T00:00:00Z,2020-05-11T18:16:00Z,1,GSM4547086,male,DTL2,SRP261167,C57BL/6,Microdissected renal tubule,Kidney,,
SRR11773267,6-8 weeks,RNA-Seq,100,2195603300,PRJNA631784,SAMN14891855,1160449820,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8326320,GSM4547087,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-18T00:00:00Z,2020-05-11T18:17:00Z,1,GSM4547087,male,DTL2,SRP261167,C57BL/6,Microdissected renal tubule,Kidney,,
SRR11773268,6-8 weeks,RNA-Seq,100,4438135600,PRJNA631784,SAMN14891854,2094914735,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8326321,GSM4547088,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-18T00:00:00Z,2020-05-11T18:31:00Z,1,GSM4547088,male,IMCD,SRP261167,C57BL/6,Microdissected renal tubule,Kidney,,
SRR11773269,6-8 weeks,RNA-Seq,100,3773543500,PRJNA631784,SAMN14891853,1826681922,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8326322,GSM4547089,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-18T00:00:00Z,2020-05-11T18:23:00Z,1,GSM4547089,male,IMCD,SRP261167,C57BL/6,Microdissected renal tubule,Kidney,,
SRR11773270,6-8 weeks,RNA-Seq,100,4171442800,PRJNA631784,SAMN14891852,1972426159,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8326323,GSM4547090,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-18T00:00:00Z,2020-05-11T18:24:00Z,1,GSM4547090,male,IMCD,SRP261167,C57BL/6,Microdissected renal tubule,Kidney,,
SRR11773271,6-8 weeks,RNA-Seq,100,1802433900,PRJNA631784,SAMN14891851,879849012,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8326324,GSM4547091,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-18T00:00:00Z,2020-05-11T18:13:00Z,1,GSM4547091,male,IMCD,SRP261167,C57BL/6,Microdissected renal tubule,Kidney,,
SRR11773272,6-8 weeks,RNA-Seq,100,4420795300,PRJNA631784,SAMN14891850,2085858559,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8326325,GSM4547092,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-18T00:00:00Z,2020-05-11T18:28:00Z,1,GSM4547092,male,IMCD,SRP261167,C57BL/6,Microdissected renal tubule,Kidney,,
SRR11773273,6-8 weeks,RNA-Seq,100,4391030300,PRJNA631784,SAMN14891849,2091737365,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8326326,GSM4547093,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-18T00:00:00Z,2020-05-11T18:26:00Z,1,GSM4547093,male,IMCD,SRP261167,C57BL/6,Microdissected renal tubule,Kidney,,
SRR11773274,6-8 weeks,RNA-Seq,100,4145036600,PRJNA631784,SAMN14891848,1930920882,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8326327,GSM4547094,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-18T00:00:00Z,2020-05-11T18:22:00Z,1,GSM4547094,male,IMCD,SRP261167,C57BL/6,Microdissected renal tubule,Kidney,,
SRR11773275,6-8 weeks,RNA-Seq,100,3852399200,PRJNA631784,SAMN14891878,1816612648,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8326328,GSM4547095,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-18T00:00:00Z,2020-05-11T19:08:00Z,1,GSM4547095,male,IMCD,SRP261167,C57BL/6,Microdissected renal tubule,Kidney,,
SRR11773276,6-8 weeks,RNA-Seq,100,4610115600,PRJNA631784,SAMN14891877,2125347053,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8326329,GSM4547096,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-18T00:00:00Z,2020-05-11T18:26:00Z,1,GSM4547096,male,IMCD,SRP261167,C57BL/6,Microdissected renal tubule,Kidney,,
SRR11773277,6-8 weeks,RNA-Seq,100,4809938400,PRJNA631784,SAMN14891876,2220514704,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8326330,GSM4547097,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-18T00:00:00Z,2020-05-11T18:29:00Z,1,GSM4547097,male,DTL1,SRP261167,C57BL/6,Microdissected renal tubule,Kidney,,
SRR11773278,6-8 weeks,RNA-Seq,100,4398686900,PRJNA631784,SAMN14891875,2020231441,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8326331,GSM4547098,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-18T00:00:00Z,2020-05-11T18:31:00Z,1,GSM4547098,male,DTL1,SRP261167,C57BL/6,Microdissected renal tubule,Kidney,,
SRR11773279,6-8 weeks,RNA-Seq,100,4508340800,PRJNA631784,SAMN14891874,2061344519,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8326332,GSM4547099,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-18T00:00:00Z,2020-05-11T18:24:00Z,1,GSM4547099,male,DTL1,SRP261167,C57BL/6,Microdissected renal tubule,Kidney,,
SRR11773280,6-8 weeks,RNA-Seq,100,4837790800,PRJNA631784,SAMN14891873,2228400251,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8326333,GSM4547100,Illumina HiSeq 3000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-11-18T00:00:00Z,2020-05-11T18:26:00Z,1,GSM4547100,male,DTL1,SRP261167,C57BL/6,Microdissected renal tubule,Kidney,,
